bucket,kind,era,series,rel_day,value
10y,new_issue,holdout,median_xcpi,-2,0.18139000197610888
10y,new_issue,holdout,median_xcpi,-1,0.20009998696446374
10y,new_issue,holdout,median_xcpi,0,0.29106492204674095
10y,new_issue,holdout,median_xcpi,1,0.324397916658542
10y,new_issue,holdout,median_xcpi,2,0.32049673006376844
10y,new_issue,holdout,median_xcpi,3,0.29738386146416773
10y,new_issue,holdout,median_xcpi,4,0.3398688833851138
10y,new_issue,holdout,median_xcpi,5,0.4610901958741781
10y,new_issue,holdout,median_xcpi,6,0.3488875613146286
10y,new_issue,holdout,median_xcpi,7,0.4086302746520748
10y,new_issue,holdout,median_xcpi,8,0.4383514490308049
10y,new_issue,holdout,median_xcpi,9,0.3901117128449205
10y,new_issue,holdout,median_xcpi,10,0.3893191681610175
10y,new_issue,holdout,mean_raw,-10,0.0
10y,new_issue,holdout,mean_raw,-9,-0.005148505355719812
10y,new_issue,holdout,mean_raw,-8,0.05366640796367585
10y,new_issue,holdout,mean_raw,-7,0.034407399022067506
10y,new_issue,holdout,mean_raw,-6,0.06003837976456021
10y,new_issue,holdout,mean_raw,-5,0.07978002519547879
10y,new_issue,holdout,mean_raw,-4,0.11601067565377851
10y,new_issue,holdout,mean_raw,-3,0.11238188975288795
10y,new_issue,holdout,mean_raw,-2,0.14674329103622208
10y,new_issue,holdout,mean_raw,-1,0.20807531704399593
10y,new_issue,holdout,mean_raw,0,0.27027618431551
10y,new_issue,holdout,mean_raw,1,0.2562669973737979
10y,new_issue,holdout,mean_raw,2,0.2660025566296418
10y,new_issue,holdout,mean_raw,3,0.26355110144591254
10y,new_issue,holdout,mean_raw,4,0.3090326444388726
10y,new_issue,holdout,mean_raw,5,0.35859940798617906
10y,new_issue,holdout,mean_raw,6,0.3274168057648271
10y,new_issue,holdout,mean_raw,7,0.36054186535645405
10y,new_issue,holdout,mean_raw,8,0.347166667125128
10y,new_issue,holdout,mean_raw,9,0.3204542999595251
10y,new_issue,holdout,mean_raw,10,0.34534729517128154
10y,new_issue,holdout,mean_z,-10,0.0
10y,new_issue,holdout,mean_z,-9,-0.020677756011091536
10y,new_issue,holdout,mean_z,-8,0.4703707465166952
10y,new_issue,holdout,mean_z,-7,0.5230389205923619
10y,new_issue,holdout,mean_z,-6,0.5124235682936454
10y,new_issue,holdout,mean_z,-5,0.7948927124439813
10y,new_issue,holdout,mean_z,-4,1.0857079024282466
10y,new_issue,holdout,mean_z,-3,1.0334095496649816
10y,new_issue,holdout,mean_z,-2,1.2515720615386803
10y,new_issue,holdout,mean_z,-1,1.5600458102759047
10y,new_issue,holdout,mean_z,0,2.0806704023656617
10y,new_issue,holdout,mean_z,1,1.9491746396336183
10y,new_issue,holdout,mean_z,2,2.0465481834655814
10y,new_issue,holdout,mean_z,3,1.8585797471314451
10y,new_issue,holdout,mean_z,4,2.1459591174439554
10y,new_issue,holdout,mean_z,5,2.4650215777906777
10y,new_issue,holdout,mean_z,6,2.3305241459532566
10y,new_issue,holdout,mean_z,7,2.6282564554944545
10y,new_issue,holdout,mean_z,8,2.6082454323818607
